Rank,Ticker,Price,DVol,Sector,Industry,RS,1M_RS,3M_RS,6M_RS,AvgVol,AvgVol10,52WKH,52WKL,%Dist_52H
362,TI.NS,447.05,926.38K,Consumer Non-Durables,Beverages: Alcoholic,87.0,79.0,72.0,77.0,552.48K,641.24K,549.7,199.53,-18.67
363,LEMERITE.NS,452.95,118.92K,Process Industries,Textiles,87.0,81.0,61.0,88.0,64.60K,64.41K,537.85,280.0,-15.79
365,POCL.NS,1100.9,256.22K,Non-Energy Minerals,Other Metals/Minerals,87.0,70.0,32.0,61.0,263.21K,149.30K,1578.0,512.4,-30.23
366,TMCV.NS,431.85,10640.08K,Consumer Durables,Motor Vehicles,87.0,46.0,81.0,,10601.26K,10975.87K,509.0,306.3,-15.16
368,GRMOVER.NS,151.23,1624.60K,Process Industries,Agricultural Commodities/Milling,87.0,68.0,60.0,91.0,1819.60K,1613.06K,185.45,84.0,-18.45
370,RUBICON.NS,773.6,416.18K,Health Technology,Biotechnology,87.0,80.0,89.0,,185.87K,120.68K,822.0,570.75,-5.89
372,SOUTHBANK.NS,36.99,25574.23K,Finance,Major Banks,87.0,52.0,70.0,91.0,25389.63K,14433.16K,46.84,22.3,-21.03
373,SAIL.NS,151.71,22905.42K,Non-Energy Minerals,Steel,87.0,73.0,90.0,87.0,24133.07K,17984.29K,168.21,101.13,-9.81
375,ABCAPITAL.NS,314.7,5956.40K,Finance,Multi-Line Insurance,87.0,50.0,62.0,85.0,6976.51K,4203.73K,369.3,169.43,-14.78
376,GLENMARK.NS,2168.5,446.75K,Health Technology,Pharmaceuticals: Major,87.0,91.0,85.0,85.0,543.02K,615.63K,2297.9,1336.0,-5.63
378,APOLLOPIPE.NS,414.5,1037.73K,Producer Manufacturing,Miscellaneous Manufacturing,87.0,97.0,95.0,83.0,1834.13K,2187.20K,494.95,252.1,-16.25
380,ADANIPOWER.NS,153.65,33797.17K,Utilities,Electric Utilities,87.0,92.0,86.0,70.0,21924.17K,43984.76K,182.7,92.4,-15.9
381,UNITEDTEA.NS,518.6,1.04K,Consumer Non-Durables,Food: Specialty/Candy,87.0,88.0,91.0,84.0,5.65K,7.72K,589.0,372.2,-11.95
382,CANHLIFE.NS,141.39,811.52K,Finance,Life/Health Insurance,87.0,70.0,86.0,,1477.18K,670.33K,159.0,106.0,-11.08
383,RICOAUTO.NS,109.14,1588.33K,Producer Manufacturing,Auto Parts: Oem,87.0,31.0,50.0,83.0,4743.49K,1953.76K,142.4,54.0,-23.36
384,CUB.NS,252.95,5782.57K,Finance,Regional Banks,87.0,32.0,55.0,90.0,2326.70K,3461.51K,324.1,142.91,-21.95
386,UJJIVANSFB.NS,54.49,13866.59K,Finance,Regional Banks,87.0,38.0,82.0,90.0,16732.91K,13934.16K,68.0,32.88,-19.87
387,STYLAMIND.NS,2187.5,31.16K,Non-Energy Minerals,Forest Products,87.0,78.0,73.0,92.0,55.98K,48.10K,2430.0,1510.0,-9.98
388,J&KBANK.NS,118.07,5012.19K,Finance,Regional Banks,87.0,94.0,92.0,87.0,5657.61K,9419.30K,128.48,87.3,-8.1
389,LOTUSEYE.NS,105.32,5.61K,Health Services,Medical/Nursing Services,87.0,64.0,46.0,65.0,31.10K,11.92K,147.0,59.65,-28.35
391,LTF.NS,261.3,5174.52K,Finance,Finance/Rental/Leasing,87.0,33.0,51.0,84.0,7588.10K,4352.76K,329.45,140.0,-20.69
398,MMFL.NS,419.55,62.90K,Producer Manufacturing,Metal Fabrication,86.0,40.0,90.0,91.0,190.41K,77.22K,501.05,288.1,-16.27
399,KTKBANK.NS,226.48,3937.16K,Finance,Regional Banks,86.0,95.0,88.0,92.0,3620.12K,5967.02K,238.95,167.55,-5.22
