Symbol,Description,Price,Price - Currency,"Price change %, 1 day","Volume, 1 day","Relative volume, 1 day",Sector,Industry,"High, 52 weeks","High, 52 weeks - Currency","Low, 52 weeks","Low, 52 weeks - Currency",Exchange,Free float %,"Performance %, Year to date"
HPIL,Hindprakash Industries Ltd.,127.05,INR,5.7428214731585445,1,0.0068073519400953025,Process industries,Chemicals: specialty,176.25,INR,109,INR,BSE,93.38239999999999,-7.901413555636094
JAUSPOL,Jauss Polymers Ltd,25.6,INR,5.741429161503513,3168,0.5655728924911629,Process industries,Containers/Packaging,37.11,INR,6.84,INR,BSE,,175.86206896551727
DYCL,Dynamic Cables Ltd.,390.85,INR,5.735154876234288,9520977,45.75729686710022,Producer manufacturing,Electrical products,520,INR,236.8,INR,NSE,31.818800000000003,16.289794703957156
SPECIALITY,Speciality Restaurants Ltd.,131.11,INR,5.691253526803722,138882,2.1937996986096238,Consumer services,Restaurants,154,INR,82.7,INR,NSE,47.4715,19.050213384182346
ARYAVAN,Ecofinity Atomix Ltd,54.95,INR,5.673076923076929,5273,0.19925557843822625,Distribution services,Wholesale distributors,63.7,INR,34.51,INR,BSE,,31.114292531615384
AIRFLOA,Airfloa Rail Technology Limited,317,INR,5.666666666666666,98000,1.7223198594024605,Producer manufacturing,Trucks/Construction/Farm machinery,431.95,INR,246,INR,BSE,30.6582,-4.804804804804805
GANHOLD,Ganesh Holding Ltd,83.47,INR,5.644855081635228,17,0.04089487611258119,Finance,Financial conglomerates,111.75,INR,60.2,INR,BSE,,-18.842975206611566
MACHLTD,Mach Travel Solutions Limited,142.6,INR,5.629629629629625,55200,4.088888888888889,Commercial services,Miscellaneous commercial services,170,INR,90,INR,BSE,99.6768,24.16195037004789
ALUWIND,Aluwind Infra-Tech Ltd,47.5,INR,5.555555555555555,12000,0.1629327902240326,Producer manufacturing,Building products,95.8,INR,40,INR,NSE,,-34.93150684931507
FREDUN,Fredun Pharmaceuticals Ltd.,2891,INR,5.549470609711574,20277,1.7285118788839704,Health technology,Pharmaceuticals: major,2950,INR,898.9,INR,BSE,48.4276,84.14012738853503
SALONA,Salona Cotspin Limited,259.95,INR,5.542021924482329,2,0.04819277108433735,Process industries,Textiles,335,INR,208.85,INR,BSE,,-10.051903114186855
STANBIK,Stanbik Agro Limited,30.5,INR,5.536332179930801,4000,0.2222222222222222,Distribution services,Food distributors,39.4,INR,27.2,INR,BSE,,-7.575757575757576
DCG,DCG Cables & Wires Ltd,53.45,INR,5.528134254689051,12000,0.36496350364963503,Non-energy minerals,Other metals/Minerals,80.4,INR,47,INR,NSE,,-19.624060150375936
VADILALIND,Vadilal Industries Limited,6797,INR,5.513986773883073,1921,4.070777707141343,Consumer non-durables,Food: specialty/candy,6860,INR,3990,INR,BSE,31.421599999999998,37.26598945816589
MRCAGRO,MRC Agrotech Limited,36.4,INR,5.50724637681159,145249,2.080186179735052,Distribution services,Wholesale distributors,54.5,INR,22.28,INR,BSE,,-21.126760563380284
NOVUS,Novus Loyalty Ltd.,135,INR,5.427567356501357,110000,2.277432712215321,Technology services,Packaged software,195,INR,128.05,INR,BSE,,-7.534246575342466
TYCHE,Tyche Industries Limited,131,INR,5.3901850362027375,8484,1.350374838843173,Health technology,Pharmaceuticals: major,148,INR,99,INR,BSE,,13.028472821397752
THYROCARE,Thyrocare Technologies Ltd,538.35,INR,5.352250489236795,56658,2.746095908337453,Health services,Medical/Nursing services,578.05,INR,163.33316837,INR,BSE,38.9722,21.250000000000004
SOURCENTRL,Source Natural Foods & Herbal Supplements Ltd.,115.4,INR,5.340027384755827,27,0.018402399127589966,Health technology,Pharmaceuticals: other,170,INR,96.55,INR,BSE,,-19.833275442862092
GNA,GNA Axles Ltd,556.65,INR,5.326395458845785,79871,3.494362801930254,Producer manufacturing,Auto parts: OEM,560.95,INR,294,INR,BSE,34.217999999999996,86.60744217230975
VALSONQ,Valson Industries Limited,33.96,INR,5.302325581395351,1950,1.6239173884077283,Process industries,Textiles,40,INR,23.58,INR,BSE,80.92970000000001,6.960629921259845
APOORVA,Apoorva Leasing Finance & Investment Co. Ltd.,34,INR,5.263157894736851,2,0.007584376185058779,Finance,Financial conglomerates,42.25,INR,27.91,INR,BSE,,-5.345211581291764
PRIMIND,Prime Industries Limited,45,INR,5.263157894736842,35161,1.0480459982533064,Finance,Real estate development,66,INR,22.1,INR,BSE,97.84970000000001,-6.7357512953367875
ELIN,Elin Electronics Limited,104.2,INR,5.252525252525255,26086,4.453891990643514,Electronic technology,Electronic production equipment,233.55,INR,94,INR,BSE,47.6181,-36.92493946731234
HTMEDIA,HT Media Limited,27.16,INR,5.230530802014729,1045025,3.637713941196455,Consumer services,Publishing: newspapers,28.64,INR,17.52,INR,NSE,24.221899999999998,18.08695652173913
SMTEL,SMT Engineering Limited,444,INR,5.213270142180095,131,0.3942220884742702,Commercial services,Miscellaneous commercial services,494.85,INR,24.76,INR,BSE,,122.38918106686701
VIDHIING,Vidhi Specialty Food Ingredients Ltd,313,INR,5.192404637875983,173116,8.396352701522941,Consumer non-durables,Food: specialty/candy,433,INR,258.6,INR,NSE,32.281299999999995,-9.117305458768868
MACOBSTECH,Macobs Technologies Ltd.,231,INR,5.1912568306010956,800,0.035211267605633804,Retail trade,Electronics/Appliance stores,249,INR,162,INR,NSE,,8.962264150943396
