Rank,Ticker,Price,Prev_Close,Gain_%,Dist_52WH_%,RS_Rank,Above_SMA20,Above_SMA50,Above_SMA200,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA20,SMA50,SMA200,SMA10W,SMA30W,History_Days
102,ALSL.BO,66.76,62.64,6.58,15.81,1185,YES,NO,YES,34.60K,Finance,Investment Banks/Brokers,65.0,42.0,49.0,62.0,3.5214,3.4786,54.07K,8.58K,79.3,42.93,3.12B,No,66.27,68.4,59.74,67.52,62.13,496
103,SVGLOBAL.BO,133.3,125.15,6.51,30.91,1990,YES,NO,NO,0.22K,Finance,Real Estate Development,41.0,22.0,21.0,42.0,10.4964,9.8,1.41K,6.31K,192.95,113.8,2.41B,No,127.53,135.43,141.83,135.4,138.02,496
104,GODIGIT.NS,280.4,263.3,6.49,26.48,2772,YES,NO,NO,8261.15K,Finance,Multi-Line Insurance,19.0,11.0,30.0,18.0,11.0143,9.7107,849.79K,1276.48K,381.4,244.2,259.23B,No,277.28,295.22,323.9,292.46,312.02,499
105,NRBBEARING.NS,457.7,429.9,6.47,2.12,240,YES,YES,YES,1540.13K,Producer Manufacturing,Auto Parts: Oem,92.0,79.0,94.0,92.0,17.5679,17.3821,1089.16K,320.89K,467.6,212.55,44.36B,No,418.77,415.64,312.06,420.0,326.64,498
106,MADHAV.NS,35.76,33.59,6.46,28.41,2440,YES,NO,NO,5.56K,Non-Energy Minerals,Construction Materials,29.0,48.0,25.0,44.0,1.7021,1.6293,4.47K,3.82K,49.95,29.0,319.94M,No,34.89,36.09,38.14,36.17,36.46,497
107,SUNLOC.BO,72.39,68.0,6.46,18.39,1323,YES,YES,YES,0.79K,Health Technology,Pharmaceuticals: Major,61.0,64.0,69.0,49.0,3.39,2.9621,0.52K,0.10K,88.7,56.35,742.34M,No,70.0,68.02,67.74,68.96,66.41,496
108,SPARKLEGR.BO,72.5,68.11,6.45,30.85,2720,YES,YES,NO,4.60K,Process Industries,Textiles,20.0,73.0,44.0,34.0,7.72,7.2464,3.33K,6.54K,104.85,52.25,324.67M,No,65.16,67.28,76.04,68.12,72.61,496
109,RAJKOTINV.BO,50.85,47.77,6.45,5.66,1086,YES,YES,YES,0.01K,Finance,Finance/Rental/Leasing,67.0,87.0,45.0,44.0,3.4929,3.1386,0.23K,0.17K,53.9,32.0,50.85M,No,45.88,44.45,43.43,45.62,43.76,496
110,ACCEDERE.BO,74.97,70.45,6.42,17.99,972,YES,YES,YES,0.11K,Distribution Services,Electronics Distributors,71.0,24.0,84.0,36.0,4.185,3.44,3.40K,0.30K,91.42,42.11,342.68M,No,63.26,65.13,67.35,66.77,62.75,496
111,UVS.BO,94.84,89.13,6.41,41.44,2210,YES,YES,NO,6.91K,Distribution Services,Wholesale Distributors,35.0,28.0,74.0,23.0,7.3779,7.1757,16.37K,16.82K,161.95,72.55,3.62B,No,89.13,93.28,104.51,93.22,94.62,496
112,DVL.NS,264.0,248.24,6.35,31.61,2191,YES,YES,YES,42.46K,Consumer Non-Durables,Food: Major Diversified,36.0,83.0,50.0,42.0,8.7521,8.6307,14.13K,19.76K,386.0,186.99,9.25B,No,242.5,240.47,260.03,242.44,241.02,497
113,TAINWALCHM.NS,220.58,207.41,6.35,14.17,1262,YES,YES,YES,13.46K,Process Industries,Containers/Packaging,62.0,83.0,62.0,73.0,11.4457,11.365,10.71K,5.29K,257.0,155.0,2.07B,No,207.91,202.6,194.17,203.0,194.11,497
