Rank,Ticker,Price,Prev_Close,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA20,SMA50,SMA200,SMA10W,SMA30W,History_Days
238,CONFIPET.NS,86.29,89.12,2532.14K,Retail Trade,Specialty Stores,92.0,90.0,78.0,94.0,4.6979,4.6621,3663.09K,3723.79K,93.2,28.06,28.67B,No,85.75,80.45,56.82,81.58,66.11,501
240,MAHASTEEL.NS,1211.9,1156.8,5.13K,Non-Energy Minerals,Steel,92.0,68.0,93.0,68.0,82.6071,79.4071,13.59K,4.60K,1421.0,405.5,19.92B,No,1262.45,1100.17,912.73,1126.73,960.72,498
241,PRECWIRE.NS,488.9,498.85,316.42K,Producer Manufacturing,Electrical Products,92.0,86.0,71.0,84.0,20.6821,20.525,739.31K,688.21K,524.9,180.35,89.37B,No,475.96,433.2,356.15,446.57,397.77,501
242,GULFPETRO.NS,63.55,66.38,54.28K,Energy Minerals,Oil Refining/Marketing,92.0,15.0,94.0,93.0,3.2629,3.165,198.70K,92.80K,71.4,23.25,3.24B,No,64.75,58.87,40.49,60.2,43.03,500
244,INDOMIM.NS,1311.15,1251.9,1984.51K,Producer Manufacturing,Industrial Machinery,92.0,97.0,,,59.4464,57.5643,5679.68K,3389.17K,1314.45,700.0,648.34B,No,1012.8,,,,,41
246,LAURUSLABS.NS,2026.2,2034.0,1387.81K,Health Technology,Pharmaceuticals: Major,92.0,85.0,90.0,93.0,48.75,47.6286,2717.23K,1897.44K,2055.3,823.1,1094.78B,No,1937.49,1838.76,1338.67,1857.87,1455.57,501
247,JINDWORLD.NS,49.17,52.2,5922.29K,Process Industries,Textiles,92.0,96.0,94.0,94.0,3.7664,3.7264,22561.40K,10756.90K,61.99,17.85,49.30B,No,49.78,41.96,30.66,43.28,32.12,501
248,UNIVPHOTO.NS,549.85,577.05,1.25K,Consumer Durables,Electronics/Appliances,92.0,92.0,92.0,57.0,32.2107,29.7857,2.11K,6.05K,624.75,180.6,6.02B,No,529.55,490.32,384.62,496.55,441.41,499
251,DOLPHIN.NS,685.3,723.55,60.22K,Industrial Services,Oilfield Services/Equipment,92.0,83.0,96.0,88.0,46.4714,46.4679,78.07K,72.69K,749.5,322.0,27.42B,No,658.19,545.36,444.41,562.13,453.64,501
254,AKSHARCHEM.NS,379.3,389.95,12.42K,Process Industries,Chemicals: Specialty,92.0,90.0,94.0,92.0,22.95,21.1536,11.80K,14.40K,472.0,141.3,3.05B,No,404.97,328.07,242.44,336.22,248.01,500
255,SMLMAH.NS,6603.0,6794.0,33.79K,Consumer Durables,Motor Vehicles,92.0,93.0,95.0,85.0,295.6786,287.3571,166.15K,66.16K,6898.5,2719.0,95.56B,No,6154.5,5429.18,4371.28,5650.6,4521.85,501
