Rank,Ticker,Price,Prev_Close,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA20,SMA50,SMA200,SMA10W,SMA30W,History_Days
131,SHARP.BO,120.45,121.65,33.01K,Consumer Durables,Electronics/Appliances,95.0,58.0,91.0,97.0,0.3393,0.1714,15.17K,0.76K,122.85,36.0,3.12B,No,119.89,117.35,69.29,118.08,81.16,494
134,DIGILOGIC.BO,179.45,170.95,82.80K,Electronic Technology,Electronic Equipment/Instruments,95.0,97.0,96.0,94.0,9.7464,8.7107,95.12K,206.76K,183.0,72.95,5.20B,No,132.9,126.1,,132.13,,133
135,SWASTIKA.BO,146.3,139.35,34.33K,Finance,Investment Banks/Brokers,95.0,98.0,98.0,97.0,7.1357,6.3157,85.72K,28.22K,146.3,43.65,2.94B,No,112.96,83.24,73.1,93.49,71.19,495
136,CRYOGENIC.BO,350.0,339.0,16.50K,Industrial Services,Oilfield Services/Equipment,95.0,93.0,96.0,94.0,12.3679,11.025,34.69K,15.15K,356.9,103.55,5.00B,No,311.08,285.39,208.47,298.76,220.54,269
139,LTELEVATOR.BO,327.6,312.0,148.00K,Producer Manufacturing,Building Products,95.0,95.0,96.0,91.0,14.2821,11.8393,88.94K,60.88K,327.6,125.33,6.28B,No,266.38,252.35,200.61,265.45,213.72,219
144,VEL.BO,65.05,65.86,5.58K,Distribution Services,Wholesale Distributors,95.0,74.0,87.0,83.0,3.4057,3.3279,33.34K,80.10K,68.0,17.03,1.66B,No,61.59,60.98,47.18,61.76,51.88,494
147,HEMORGANIC.BO,20.94,22.04,2.27K,Process Industries,Chemicals: Specialty,95.0,21.0,95.0,88.0,0.2486,0.0,8.36K,0.92K,24.42,8.08,72.58M,No,23.59,22.17,16.01,22.31,17.12,494
148,EXATO.BO,630.0,625.55,9.50K,Technology Services,Packaged Software,94.0,97.0,94.0,95.0,34.375,31.1321,43.62K,19.55K,660.0,266.0,6.34B,No,586.76,462.19,,496.64,403.53,167
149,SAPL.BO,3850.75,3688.95,2.67K,Producer Manufacturing,Industrial Machinery,94.0,94.0,96.0,95.0,266.6964,242.7036,0.10K,0.46K,4364.0,1680.0,18.35B,No,3623.76,3031.59,2317.48,3184.06,2475.22,496
154,CELLA.BO,27.44,26.14,19.02K,Process Industries,Pulp & Paper,94.0,98.0,97.0,95.0,1.9243,1.5779,16.68K,37.53K,32.26,11.65,552.95M,No,24.9,21.21,15.83,22.82,17.0,494
157,CHEMIESYNT.BO,77.36,77.36,0.00K,Process Industries,Chemicals: Specialty,94.0,87.0,88.0,94.0,0.5129,0.0,,,77.36,30.98,237.50M,No,73.06,68.82,49.11,69.64,54.14,494
158,AVAX.BO,50.95,49.5,1.00K,Distribution Services,Wholesale Distributors,94.0,73.0,63.0,91.0,0.9007,0.7243,7.97K,2.30K,55.4,12.53,423.56M,No,50.07,50.66,39.05,50.25,44.55,391
162,KKPLASTICK.BO,51.81,51.81,2.86K,Producer Manufacturing,Miscellaneous Manufacturing,94.0,98.0,97.0,94.0,1.0693,0.0,0.33K,0.23K,51.81,22.61,286.43M,No,43.7,34.35,29.7,37.59,31.49,496
164,KRISHNA.BO,36.75,37.49,0.51K,Industrial Services,Engineering & Construction,94.0,14.0,92.0,81.0,0.7829,0.0743,19.10K,0.62K,51.72,12.44,396.90M,No,42.68,39.35,25.27,41.58,29.57,494
166,GRAMEVA.BO,88.2,92.7,3.96K,Producer Manufacturing,Industrial Conglomerates,94.0,8.0,93.0,80.0,4.4786,3.6679,1.46K,0.59K,116.0,31.8,423.31M,No,94.88,91.75,67.91,93.35,72.14,494
167,CHANDNIMACH.BO,109.1,107.35,0.64K,Producer Manufacturing,Industrial Machinery,94.0,87.0,95.0,89.0,5.5821,5.375,17.70K,8.91K,127.74,31.0,767.88M,No,104.46,86.7,77.17,93.34,77.42,494
181,BEEZAASAN.BO,419.05,407.0,27.20K,Process Industries,Industrial Specialties,94.0,92.0,96.0,93.0,12.2321,10.5393,34.04K,9.68K,427.35,177.05,6.35B,No,389.13,351.78,256.77,369.8,270.53,356
187,JASCH.BO,291.45,281.6,4.11K,Process Industries,Textiles,93.0,73.0,97.0,92.0,18.3929,15.2643,14.96K,8.84K,343.65,126.05,1.98B,No,293.69,268.08,187.89,274.22,199.64,494
193,TIMESGREEN.BO,78.5,78.0,4.00K,Process Industries,Agricultural Commodities/Milling,93.0,81.0,96.0,89.0,0.5493,0.2464,9.21K,2.80K,78.5,37.27,437.59M,No,74.68,64.33,51.41,68.85,53.35,498
195,INOVSYNTH.BO,137.2,135.85,336.77K,Miscellaneous,Miscellaneous,93.0,66.0,98.0,94.0,0.3929,0.3,67.78K,75.12K,137.2,50.1,12.74B,No,134.03,124.86,87.52,130.26,91.86,494
203,PARMESHWAR.BO,194.5,195.0,5.00K,Non-Energy Minerals,Other Metals/Minerals,93.0,45.0,45.0,77.0,6.2679,4.8036,17.84K,5.40K,241.5,64.71,2.98B,No,190.84,193.67,148.51,192.76,166.9,389
207,INDIAHOMES.BO,24.85,22.29,1618.85K,Non-Energy Minerals,Steel,93.0,79.0,65.0,92.0,0.9193,0.8957,913.01K,578.76K,25.64,9.04,9.89B,No,22.26,22.48,16.59,22.73,18.91,494
209,MIDEASTP.BO,36.06,36.68,0.13K,Finance,Investment Banks/Brokers,93.0,18.0,93.0,95.0,1.6871,1.2507,19.74K,1.01K,46.11,13.85,181.38M,No,39.3,36.09,23.78,37.33,26.26,494
