Rank,Ticker,Price,DVol,Sector,Industry,RS,1M_RS,3M_RS,6M_RS,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA50,SMA200,SMA10W,SMA30W,%Dist_52H
239,GVT&D.NS,4801.5,195.43K,Producer Manufacturing,Electrical Products,91.0,81.0,77.0,94.0,230.5857,211.5429,840.97K,891.88K,5222.1,2265.0,1229.54B,No,4550.31,3498.21,4701.89,3788.93,-8.05
241,ELPROINTL.NS,169.25,11.84K,Electronic Technology,Electronic Components,91.0,61.0,,,2.9736,2.9714,223.85K,44.21K,177.5,102.0,28.68B,No,,,,,-4.65
242,BELRISE.NS,236.92,1466.74K,Producer Manufacturing,Auto Parts: Oem,91.0,82.0,72.0,89.0,8.1614,7.3379,5141.49K,6817.07K,242.0,97.72,210.69B,No,215.36,178.72,218.41,192.06,-2.1
244,SBC.NS,37.34,1739.51K,Distribution Services,Wholesale Distributors,91.0,81.0,64.0,88.0,1.1236,1.1157,12582.85K,13280.19K,40.45,14.21,17.78B,No,35.12,28.85,35.75,31.89,-7.69
245,PARAS.NS,1084.25,1595.90K,Electronic Technology,Aerospace & Defense,91.0,95.0,92.0,91.0,62.8536,60.5429,2407.46K,6197.44K,1133.0,580.5,87.38B,No,832.62,717.91,879.75,736.44,-4.3
249,RAIN.NS,195.5,6533.44K,Process Industries,Industrial Specialties,91.0,90.0,93.0,95.0,11.2329,10.9586,6751.78K,7043.99K,214.17,99.9,65.76B,No,155.67,137.44,162.09,141.0,-8.72
252,ADANIENSOL.NS,1484.9,919.26K,Utilities,Electric Utilities,91.0,82.0,90.0,91.0,55.0572,53.8214,3551.95K,3262.65K,1614.8,744.9,1783.90B,No,1374.05,1056.3,1410.9,1126.58,-8.04
253,UTLSOLAR.NS,316.4,132.38K,Electronic Technology,Semiconductors,91.0,86.0,95.0,91.0,21.625,18.5536,684.42K,544.53K,365.0,172.0,97.10B,No,284.44,,294.88,235.04,-13.32
255,RATEGAIN.NS,847.8,424.51K,Technology Services,Packaged Software,91.0,94.0,94.0,80.0,32.05,30.4857,655.91K,523.15K,849.9,417.6,100.04B,No,659.37,628.69,688.01,621.66,-0.25
258,INOXINDIA.NS,1846.5,439.30K,Producer Manufacturing,Industrial Machinery,91.0,93.0,92.0,92.0,99.2643,98.4857,375.95K,866.61K,1980.0,1065.0,167.56B,No,1505.49,1249.61,1554.21,1287.6,-6.74
261,IFCI.NS,88.38,104156.43K,Finance,Finance/Rental/Leasing,91.0,95.0,93.0,94.0,5.4586,5.2707,42732.12K,142478.09K,91.49,46.23,238.07B,No,65.15,57.41,68.85,59.44,-3.4
262,LLOYDSENGG.NS,72.26,2775.10K,Industrial Services,Engineering & Construction,91.0,80.0,95.0,92.0,3.6879,3.5179,9904.56K,6927.45K,84.27,37.4,102.99B,No,64.17,56.48,67.1,54.9,-14.25
264,STALLION.NS,192.4,1666.70K,Distribution Services,Wholesale Distributors,91.0,96.0,95.0,69.0,10.5093,9.7957,1977.85K,2360.61K,423.8,74.0,22.35B,No,162.79,191.43,167.78,167.03,-54.6
266,NITTAGELA.NS,1476.0,4.35K,Consumer Non-Durables,Food: Specialty/Candy,91.0,83.0,,,121.1036,111.8321,21.40K,31.64K,1870.0,882.0,,No,,,,,-21.07
267,NITINSPIN.NS,546.4,61.66K,Process Industries,Textiles,91.0,79.0,91.0,94.0,24.675,23.3429,212.55K,198.37K,571.0,302.2,30.72B,No,477.92,371.61,491.17,393.23,-4.31
268,NARMADA.NS,37.45,454.48K,Process Industries,Agricultural Commodities/Milling,90.0,51.0,65.0,93.0,2.7264,2.6557,657.75K,2100.28K,45.17,15.6,1.42B,No,35.82,28.48,36.29,31.03,-17.09
270,ADANIGREEN.NS,1479.8,683.67K,Utilities,Alternative Power Generation,90.0,66.0,95.0,90.0,47.4143,46.8786,4803.95K,3837.05K,1544.8,765.0,2438.32B,No,1320.74,1065.85,1365.82,1084.6,-4.21
271,INDOBORAX.NS,372.05,26.94K,Process Industries,Chemicals: Specialty,90.0,94.0,91.0,92.0,17.1786,17.0714,152.06K,126.06K,385.9,189.9,11.94B,No,296.59,260.63,310.18,270.67,-3.59
273,SUVEN.NS,262.0,1015.62K,Health Technology,Pharmaceuticals: Major,90.0,93.0,96.0,92.0,17.3493,16.995,1521.45K,1953.34K,299.99,124.11,69.09B,No,231.71,188.58,236.34,181.91,-12.66
274,SATIN.NS,231.47,240.98K,Finance,Finance/Rental/Leasing,90.0,59.0,92.0,92.0,12.1843,11.9493,1057.43K,782.98K,247.0,133.01,25.46B,No,201.8,161.76,208.2,169.1,-6.29
275,HIRECT.NS,1143.5,117.19K,Producer Manufacturing,Electrical Products,90.0,92.0,93.0,91.0,67.6143,66.7714,244.01K,172.12K,1212.1,565.2,39.30B,No,967.49,806.61,1011.23,811.92,-5.66
